id,description,code,md5,foxdog,hexdigits,lorem,punctuation,zebra
1,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string,"def process(s):
    s =  s.replace(""e"", """")
    s =  s.replace("" "", ""!"")",eab8b35e269b9896aee9bb15403b67b5,Th!quick!brown!fox!jumps!ovr!a!lazy!dog!,0123456789abcdfABCDEF,"Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!Duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!Excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How!quickly!daft!jumping!zbras!vx!
2,remove all instances of the letter e from the string then convert the string s to lowercase,"def process(s):
    s =  s.replace(""e"", """")
    s =  s.lower()",f5f16674bc96dbcacddbea0fd8349e10,th quick brown fox jumps ovr a lazy dog!,0123456789abcdfabcdef,"lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",how quickly daft jumping zbras vx!
3,remove all instances of the letter e from the string then remove the first and last two characters of the string,"def process(s):
    s =  s.replace(""e"", """")
    s =  s[2:-2]",62fe5726a35bcd2c9ed9b98eaaa946b6, quick brown fox jumps ovr a lazy do,23456789abcdfABCD,"rm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",w quickly daft jumping zbras v
4,remove all instances of the letter e from the string then remove every third character from the string,"def process(s):
    s =  s.replace(""e"", """")
    s =  """".join(char for i, char in enumerate(s) if i % 3 != 0)",87f9745ecb90cd3e518f537906fc4ada,h uik ron oxjupsov alay og,124578abdfBCEF,"or isu dlo st mt cnsttr diisin lt,sddoiumo tpo iciidntutlaort olr aga liua U nm d inm nim,qus osru xciatonulamo abri nsiutalqup  acomoo onqut.Dus utirr olr n prnditinvoupatvlt s ilumdooru ugatnulapaiaur Ecpursit ccca cpiatt onpridt,sut n ula uiofica srntmoli aimidstlaorm?","""#%&()+,./;<>?[\^_{|~",owqucky af jmpngzbasvx
5,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters","def process(s):
    s =  s.replace(""e"", """")
    s =  s[: len(s) // 2]",b085331cb45c64d0d3c9b5eb0709ac76,Th quick brown fox j,0123456789,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo ","!""#$%&'()*+,-./:",How quickly daft 
6,remove all instances of the letter e from the string then replace spaces with triple spaces,"def process(s):
    s =  s.replace(""e"", """")
    s =  s.replace("" "", ""   "")",00c23e297f94a53cf7c27fab0f401c46,Th   quick   brown   fox   jumps   ovr   a   lazy   dog!,0123456789abcdfABCDEF,"Lorm   ipsum   dolor   sit   amt,   conscttur   adipiscing   lit,   sd   do   iusmod   tmpor   incididunt   ut   labor   t   dolor   magna   aliqua.   Ut   nim   ad   minim   vniam,   quis   nostrud   xrcitation   ullamco   laboris   nisi   ut   aliquip   x   a   commodo   consquat.   Duis   aut   irur   dolor   in   rprhndrit   in   voluptat   vlit   ss   cillum   dolor   u   fugiat   nulla   pariatur.   Excptur   sint   occacat   cupidatat   non   proidnt,   sunt   in   culpa   qui   officia   dsrunt   mollit   anim   id   st   laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How   quickly   daft   jumping   zbras   vx!
7,remove all instances of the letter e from the string then reverse the order of words in the string,"def process(s):
    s =  s.replace(""e"", """")
    s =  "" "".join(s.split()[::-1])",079a3f3bc53c1c315be23c2924bc1939,dog! lazy a ovr jumps fox brown quick Th,0123456789abcdfABCDEF,"laborum? st id anim mollit dsrunt officia qui culpa in sunt proidnt, non cupidatat occacat sint Excptur pariatur. nulla fugiat u dolor cillum ss vlit voluptat in rprhndrit in dolor irur aut Duis consquat. commodo a x aliquip ut nisi laboris ullamco xrcitation nostrud quis vniam, minim ad nim Ut aliqua. magna dolor t labor ut incididunt tmpor iusmod do sd lit, adipiscing conscttur amt, sit dolor ipsum Lorm","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",vx! zbras jumping daft quickly How
8,"remove all instances of the letter e from the string then drop the first half of the string, as computed by number of words","def process(s):
    s =  s.replace(""e"", """")
    s =  "" "".join(s.split()[len(s.split ()) // 2 :])),",1419f28b55aace2fb8e144acec1aba1d,jumps ovr a lazy dog!,0123456789abcdfABCDEF,"commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",jumping zbras vx!
9,remove all instances of the letter e from the string then add the word apples after every word in the string,"def process(s):
    s =  s.replace(""e"", """")
    s =  "" "".join(word + "" apples"" for word in s.split())",f0bb265d87a5e1f3aae78cb93931cc3b,Th apples quick apples brown apples fox apples jumps apples ovr apples a apples lazy apples dog! apples,0123456789abcdfABCDEF apples,"Lorm apples ipsum apples dolor apples sit apples amt, apples conscttur apples adipiscing apples lit, apples sd apples do apples iusmod apples tmpor apples incididunt apples ut apples labor apples t apples dolor apples magna apples aliqua. apples Ut apples nim apples ad apples minim apples vniam, apples quis apples nostrud apples xrcitation apples ullamco apples laboris apples nisi apples ut apples aliquip apples x apples a apples commodo apples consquat. apples Duis apples aut apples irur apples dolor apples in apples rprhndrit apples in apples voluptat apples vlit apples ss apples cillum apples dolor apples u apples fugiat apples nulla apples pariatur. apples Excptur apples sint apples occacat apples cupidatat apples non apples proidnt, apples sunt apples in apples culpa apples qui apples officia apples dsrunt apples mollit apples anim apples id apples st apples laborum? apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ apples",How apples quickly apples daft apples jumping apples zbras apples vx! apples
10,remove all instances of the letter e from the string then make every other character in the string uppercase,"def process(s):
    s =  s.replace(""e"", """")
    s =  """".join(char.upper() if i % 2 == 0 else char for i, char in enumerate(s))",f8debad034cff05c3f838efd75f5234c,Th qUiCk bRoWn fOx jUmPs oVr a lAzY DoG!,0123456789AbCdFABCDEF,"LoRm iPsUm dOlOr sIt aMt, CoNsCtTuR AdIpIsCiNg lIt, Sd dO IuSmOd tMpOr iNcIdIdUnT Ut lAbOr t dOlOr mAgNa aLiQuA. UT NiM Ad mInIm vNiAm, QuIs nOsTrUd xRcItAtIoN UlLaMcO LaBoRiS NiSi uT AlIqUiP X A CoMmOdO CoNsQuAt. DuIs aUt iRuR DoLoR In rPrHnDrIt iN VoLuPtAt vLiT Ss cIlLuM DoLoR U FuGiAt nUlLa pArIaTuR. EXcPtUr sInT OcCaCaT CuPiDaTaT NoN PrOiDnT, sUnT In cUlPa qUi oFfIcIa dSrUnT MoLlIt aNiM Id sT LaBoRuM?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",HoW QuIcKlY DaFt jUmPiNg zBrAs vX!
